epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.933,2.1348,3.60424,2.06258,0.65334,0.21632,0.13458,0.05038,2.42444,3.51806,2.30418,0.000298478,0.000298478,0.000298478
2,53.5456,2.00357,2.66219,1.96428,0.49085,0.22138,0.18944,0.06879,2.40865,5.46867,2.84121,0.000592971,0.000592971,0.000592971
3,71.1332,2.00478,2.55304,1.99313,0.29992,0.47279,0.23804,0.1236,2.41133,5.94709,2.53463,0.000878894,0.000878894,0.000878894
4,88.4585,1.98707,2.47566,1.97076,0.25869,0.23882,0.17672,0.04716,2.58958,4.44859,2.64236,0.000870432,0.000870432,0.000870432
5,105.559,1.95638,2.41262,1.96203,0.33044,0.39974,0.33112,0.11205,2.39198,3.06641,2.45496,0.000857577,0.000857577,0.000857577
6,122.578,1.92657,2.40351,1.95502,0.38553,0.3623,0.31779,0.11225,2.15868,2.98509,2.19353,0.000844721,0.000844721,0.000844721
7,139.614,1.87017,2.31525,1.91224,0.15949,0.52903,0.28364,0.09701,2.40969,3.63876,2.3671,0.000831865,0.000831865,0.000831865
8,156.661,1.85276,2.31356,1.89561,0.33175,0.38455,0.23573,0.10552,2.19412,2.90347,2.22578,0.000819009,0.000819009,0.000819009
9,173.758,1.85845,2.25621,1.88294,0.30581,0.21268,0.16615,0.06744,2.2926,2.85746,2.28485,0.000806153,0.000806153,0.000806153
10,190.819,1.82934,2.30104,1.88755,0.47056,0.49441,0.43435,0.17202,2.11961,2.23787,2.13186,0.000793297,0.000793297,0.000793297
11,207.997,1.82066,2.2497,1.88899,0.40287,0.41444,0.29531,0.12232,2.15028,2.48823,2.18525,0.000780441,0.000780441,0.000780441
12,225.045,1.80399,2.18506,1.84992,0.35134,0.42315,0.44025,0.18135,2.05814,2.31863,2.106,0.000767586,0.000767586,0.000767586
13,242.362,1.77767,2.18822,1.85406,0.66541,0.43645,0.62691,0.2323,2.02041,2.22461,2.04265,0.00075473,0.00075473,0.00075473
14,259.694,1.75972,2.14466,1.82219,0.22035,0.66042,0.3081,0.13198,2.01953,2.46846,2.0525,0.000741874,0.000741874,0.000741874
15,276.769,1.75123,2.08709,1.82538,0.45604,0.42117,0.48994,0.18234,2.01902,2.83622,2.1282,0.000729018,0.000729018,0.000729018
16,293.805,1.73367,2.12405,1.7978,0.4388,0.37837,0.4067,0.18613,2.10926,2.34101,2.20313,0.000716162,0.000716162,0.000716162
17,311.135,1.72181,2.0775,1.78411,0.32847,0.58311,0.43211,0.18205,2.11453,2.35224,2.16958,0.000703306,0.000703306,0.000703306
18,328.22,1.68876,2.02692,1.76937,0.59466,0.42231,0.47745,0.22849,1.94021,2.25817,2.06878,0.00069045,0.00069045,0.00069045
19,345.275,1.68731,2.00767,1.75616,0.458,0.60815,0.6016,0.22164,1.97691,2.28954,2.02013,0.000677595,0.000677595,0.000677595
