epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1561,2.1348,3.60424,2.06258,0.65334,0.21632,0.13458,0.05038,2.42444,3.51806,2.30418,0.000298478,0.000298478,0.000298478
2,34.5965,2.00548,2.66842,1.97502,0.5094,0.15724,0.1043,0.02964,2.42201,5.9575,2.60365,0.000595523,0.000595523,0.000595523
3,52.009,2.0243,2.5586,2.01003,0.05647,0.28709,0.12427,0.04125,2.60016,6.84098,2.54458,0.000886569,0.000886569,0.000886569
4,69.2927,1.99196,2.49237,1.97938,0.25849,0.40398,0.1804,0.06337,2.28128,3.20049,2.26547,0.000882003,0.000882003,0.000882003
5,86.6454,1.96199,2.45656,1.96866,0.28536,0.25181,0.12769,0.0577,2.29175,2.88858,2.31462,0.000873004,0.000873004,0.000873004
6,103.861,1.91254,2.38832,1.96282,0.40931,0.30076,0.17774,0.0662,2.20793,3.37642,2.25245,0.000864004,0.000864004,0.000864004
7,121.207,1.88062,2.32273,1.90585,0.8231,0.17022,0.16015,0.05883,2.55324,5.63092,2.39031,0.000855005,0.000855005,0.000855005
8,138.304,1.86871,2.31292,1.89151,0.21726,0.44305,0.30382,0.12181,2.17046,2.75679,2.23851,0.000846006,0.000846006,0.000846006
9,155.663,1.87453,2.27813,1.89063,0.1807,0.41811,0.41083,0.16512,2.04016,2.56952,2.09784,0.000837007,0.000837007,0.000837007
10,172.885,1.83958,2.29512,1.88867,0.5328,0.40189,0.43979,0.16953,2.06927,2.34431,2.07242,0.000828008,0.000828008,0.000828008
11,190.158,1.80556,2.25582,1.86582,0.48555,0.49439,0.57941,0.17268,2.10129,2.56655,2.07024,0.000819009,0.000819009,0.000819009
12,207.437,1.8226,2.21836,1.86274,0.38163,0.58812,0.47525,0.18725,2.15843,2.32518,2.12777,0.00081001,0.00081001,0.00081001
13,224.689,1.79904,2.20944,1.85452,0.57354,0.3426,0.31955,0.13714,2.08341,2.23267,2.09983,0.000801011,0.000801011,0.000801011
14,241.787,1.7731,2.15782,1.82434,0.24353,0.4256,0.33237,0.14593,2.02878,2.39051,2.04736,0.000792012,0.000792012,0.000792012
15,258.972,1.76037,2.10704,1.82297,0.63033,0.40652,0.43568,0.18624,2.01502,2.51665,2.13807,0.000783013,0.000783013,0.000783013
16,276.046,1.73277,2.16618,1.82536,0.46134,0.43867,0.41816,0.19167,2.09862,2.32348,2.09979,0.000774013,0.000774013,0.000774013
17,293.167,1.73861,2.10687,1.79957,0.28656,0.53643,0.52261,0.13503,2.09641,2.56878,2.13366,0.000765014,0.000765014,0.000765014
18,310.337,1.71744,2.06536,1.77396,0.35314,0.56301,0.51923,0.19802,2.06492,2.28472,2.16219,0.000756015,0.000756015,0.000756015
19,327.626,1.70387,2.04505,1.7633,0.31134,0.53696,0.37695,0.17393,1.97503,2.3421,2.00617,0.000747016,0.000747016,0.000747016
20,344.816,1.68916,2.03852,1.77284,0.33442,0.64673,0.54657,0.18833,2.11479,2.37658,2.169,0.000738017,0.000738017,0.000738017
21,362.174,1.68132,2.02499,1.75141,0.42203,0.47526,0.42056,0.18501,2.16082,2.3258,2.21246,0.000729018,0.000729018,0.000729018
22,379.305,1.67211,1.99644,1.75255,0.25861,0.55638,0.46027,0.2044,1.98403,2.20741,2.07407,0.000720019,0.000720019,0.000720019
23,396.426,1.68652,1.97922,1.76102,0.582,0.44178,0.6319,0.21873,2.02025,2.18064,2.15356,0.00071102,0.00071102,0.00071102
24,413.677,1.64716,2.00301,1.76106,0.27536,0.46189,0.3918,0.17329,2.04888,2.15425,2.14323,0.000702021,0.000702021,0.000702021
25,430.794,1.64941,1.97686,1.73986,0.35355,0.7193,0.52986,0.20365,2.01225,2.14299,2.00995,0.000693022,0.000693022,0.000693022
