epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0545,2.0758,3.91662,1.98529,0.92003,0.07143,0.13073,0.04929,2.32859,3.68085,2.1649,0.000298478,0.000298478,0.000298478
2,21.9944,1.98106,3.08197,1.93393,0.59759,0.14077,0.15231,0.05836,2.19423,3.41107,2.29645,0.000581629,0.000581629,0.000581629
3,32.6628,1.97397,2.8737,1.94931,0.55183,0.23388,0.14393,0.06715,2.11686,3.48944,2.19204,0.000844782,0.000844782,0.000844782
4,43.3179,1.91776,2.73246,1.90885,0.47797,0.15542,0.168,0.06727,2.14319,3.89254,2.29739,0.000819009,0.000819009,0.000819009
5,54.0076,1.88174,2.64585,1.89956,0.46976,0.165,0.28051,0.0772,2.17331,3.07841,2.22797,0.000789012,0.000789012,0.000789012
6,64.6508,1.83998,2.5638,1.8944,0.52043,0.32319,0.26067,0.13674,2.00916,2.58488,2.15961,0.000759015,0.000759015,0.000759015
7,75.2732,1.80802,2.45962,1.86768,0.69755,0.29651,0.3286,0.15888,2.02025,2.51311,2.02871,0.000729018,0.000729018,0.000729018
8,85.883,1.79684,2.43179,1.84485,0.38384,0.3549,0.28241,0.12862,2.10878,2.56212,2.13034,0.000699021,0.000699021,0.000699021
9,96.4148,1.80218,2.38309,1.80893,0.54276,0.38937,0.27847,0.13508,2.07266,2.69705,2.07907,0.000669024,0.000669024,0.000669024
10,106.944,1.77929,2.34383,1.80468,0.52379,0.47229,0.4608,0.21436,1.90141,2.28468,1.95517,0.000639027,0.000639027,0.000639027
11,117.497,1.7506,2.289,1.79451,0.61384,0.35389,0.32404,0.15689,1.93343,2.33021,2.00577,0.00060903,0.00060903,0.00060903
12,128.045,1.74635,2.25037,1.79377,0.71917,0.31635,0.46246,0.23032,1.95529,2.2174,1.99112,0.000579033,0.000579033,0.000579033
13,138.643,1.71263,2.22503,1.77701,0.76744,0.3526,0.37332,0.20336,1.91718,2.22643,1.95472,0.000549036,0.000549036,0.000549036
14,149.218,1.70793,2.18582,1.74769,0.53642,0.55809,0.4818,0.1988,1.8669,2.33892,1.94731,0.000519039,0.000519039,0.000519039
15,159.847,1.6766,2.13127,1.73764,0.61417,0.32546,0.36345,0.20046,1.88014,2.17358,1.9566,0.000489042,0.000489042,0.000489042
16,170.396,1.66747,2.13198,1.72559,0.48578,0.71852,0.63472,0.28555,1.86088,2.24669,1.95215,0.000459045,0.000459045,0.000459045
17,180.986,1.63748,2.08407,1.69527,0.26699,0.54828,0.37164,0.17872,2.00188,2.39312,2.04021,0.000429048,0.000429048,0.000429048
18,191.58,1.63858,2.04398,1.6952,0.39313,0.58046,0.49121,0.25673,1.83838,2.20468,1.93423,0.000399051,0.000399051,0.000399051
19,202.07,1.61265,2.01962,1.67449,0.46839,0.51332,0.49004,0.22472,1.93802,2.18414,1.98063,0.000369054,0.000369054,0.000369054
20,212.602,1.59806,1.98826,1.68006,0.67154,0.50763,0.57361,0.25904,1.938,2.2326,1.97359,0.000339057,0.000339057,0.000339057
21,224.147,1.67786,2.19566,1.78555,0.61036,0.51537,0.51937,0.25927,1.94547,2.18078,2.00433,0.00030906,0.00030906,0.00030906
22,234.701,1.5963,2.09944,1.76698,0.62526,0.52117,0.47889,0.23528,1.97649,2.1917,2.02164,0.000279063,0.000279063,0.000279063
23,245.165,1.58051,2.03618,1.75336,0.70278,0.47796,0.51826,0.27656,1.91657,2.14285,1.94717,0.000249066,0.000249066,0.000249066
24,255.672,1.55494,1.9742,1.71303,0.67125,0.48341,0.50152,0.26167,1.85639,2.1408,1.90993,0.000219069,0.000219069,0.000219069
25,266.203,1.51367,1.91073,1.69329,0.66709,0.49133,0.51516,0.29352,1.85583,2.13167,1.93362,0.000189072,0.000189072,0.000189072
26,276.707,1.51513,1.8765,1.68471,0.63635,0.48714,0.47694,0.26193,1.88481,2.21503,1.92554,0.000159075,0.000159075,0.000159075
27,287.187,1.45719,1.81413,1.64455,0.42766,0.51133,0.45791,0.26673,1.88638,2.22434,1.95769,0.000129078,0.000129078,0.000129078
28,297.658,1.44022,1.78465,1.63389,0.45284,0.54443,0.49066,0.26255,1.94637,2.22396,2.00733,9.9081e-05,9.9081e-05,9.9081e-05
29,308.137,1.4189,1.76149,1.60978,0.56523,0.47617,0.49919,0.27238,1.85943,2.1811,1.93563,6.9084e-05,6.9084e-05,6.9084e-05
30,318.664,1.3965,1.73651,1.59112,0.47832,0.49474,0.49302,0.27169,1.86245,2.23744,1.93902,3.9087e-05,3.9087e-05,3.9087e-05
