epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5107,2.0758,3.91662,1.98529,0.92003,0.07143,0.13073,0.04929,2.32859,3.68085,2.1649,0.000298478,0.000298478,0.000298478
2,23.3908,1.97705,3.08547,1.92262,0.5493,0.16268,0.18015,0.08707,2.24335,3.80535,2.25475,0.000589568,0.000589568,0.000589568
3,34.0524,1.96249,2.87426,1.94561,0.41198,0.30347,0.15255,0.06169,2.23699,4.23678,2.39958,0.00086866,0.00086866,0.00086866
4,44.6446,1.94181,2.71167,1.91636,0.46383,0.28561,0.15312,0.06287,2.13401,3.21849,2.18186,0.000855005,0.000855005,0.000855005
5,55.1704,1.89592,2.6416,1.89146,0.54342,0.18467,0.23448,0.09917,2.13894,3.18996,2.18267,0.000837007,0.000837007,0.000837007
6,65.7555,1.84573,2.53272,1.85991,0.44041,0.30617,0.3178,0.14389,2.11431,2.9804,2.22215,0.000819009,0.000819009,0.000819009
7,76.3628,1.82418,2.48206,1.8688,0.45796,0.40441,0.36716,0.15239,2.1445,2.80359,2.13435,0.000801011,0.000801011,0.000801011
8,86.9787,1.82179,2.44638,1.83658,0.54101,0.33213,0.33173,0.16878,2.09063,2.91837,2.18045,0.000783013,0.000783013,0.000783013
9,97.5307,1.79592,2.38753,1.8257,0.68523,0.22261,0.28357,0.13156,2.11678,2.99766,2.11075,0.000765014,0.000765014,0.000765014
10,108.053,1.79028,2.36719,1.8207,0.37449,0.32684,0.28638,0.13515,1.93581,2.33897,2.02501,0.000747016,0.000747016,0.000747016
11,118.542,1.75785,2.33347,1.80832,0.59493,0.23266,0.26516,0.12546,1.985,2.46309,2.11092,0.000729018,0.000729018,0.000729018
12,129.053,1.75486,2.26973,1.80678,0.67882,0.25867,0.46347,0.1838,2.22374,2.64217,2.36796,0.00071102,0.00071102,0.00071102
13,139.646,1.72984,2.24681,1.7814,0.38149,0.52835,0.34061,0.18064,1.8787,2.33772,1.98221,0.000693022,0.000693022,0.000693022
14,150.228,1.73262,2.20618,1.76805,0.59893,0.43667,0.46331,0.19483,1.94618,2.28091,2.01156,0.000675023,0.000675023,0.000675023
15,160.792,1.70554,2.17154,1.76545,0.50623,0.5015,0.42537,0.18205,1.98958,2.76327,2.012,0.000657025,0.000657025,0.000657025
16,171.319,1.70186,2.16771,1.75529,0.52936,0.48682,0.59912,0.2374,1.96189,2.26264,1.9396,0.000639027,0.000639027,0.000639027
17,181.916,1.68211,2.12454,1.72662,0.59029,0.5521,0.56915,0.21363,1.91886,2.30586,1.95659,0.000621029,0.000621029,0.000621029
18,192.432,1.6774,2.07663,1.72209,0.34794,0.52082,0.57026,0.23388,1.97994,2.32518,2.08638,0.000603031,0.000603031,0.000603031
19,202.914,1.66353,2.06778,1.71865,0.31508,0.73122,0.6179,0.27581,1.94791,2.23172,1.99373,0.000585032,0.000585032,0.000585032
20,213.5,1.63677,2.05093,1.718,0.46982,0.49239,0.5783,0.27582,1.94512,2.46475,1.95091,0.000567034,0.000567034,0.000567034
21,224.099,1.63308,2.0595,1.69791,0.46197,0.61367,0.57998,0.25747,1.96988,2.30629,2.02746,0.000549036,0.000549036,0.000549036
22,234.643,1.62353,2.01072,1.69434,0.38748,0.49351,0.47284,0.24709,1.9481,2.20457,2.01091,0.000531038,0.000531038,0.000531038
23,245.136,1.62214,2.00919,1.69976,0.58686,0.49296,0.60339,0.32157,1.8815,2.25912,1.97385,0.00051304,0.00051304,0.00051304
24,255.734,1.60456,1.99506,1.70281,0.5658,0.58423,0.62273,0.26565,1.88373,2.21084,1.93419,0.000495041,0.000495041,0.000495041
25,266.279,1.58733,1.95885,1.67594,0.3787,0.62795,0.55655,0.26581,1.93956,2.11699,1.96824,0.000477043,0.000477043,0.000477043
26,276.782,1.57564,1.93377,1.67851,0.79751,0.46174,0.50787,0.27143,1.9622,2.22196,2.012,0.000459045,0.000459045,0.000459045
27,287.317,1.60184,1.9649,1.68634,0.29221,0.53024,0.4205,0.21508,1.90984,2.28808,1.95926,0.000441047,0.000441047,0.000441047
28,297.852,1.56099,1.89146,1.64867,0.57069,0.62617,0.61329,0.29386,1.89043,2.21743,1.93298,0.000423049,0.000423049,0.000423049
29,308.429,1.55205,1.82383,1.62886,0.62682,0.43929,0.54097,0.20978,1.92587,2.26424,2.00157,0.00040505,0.00040505,0.00040505
30,318.938,1.55213,1.86589,1.63561,0.43294,0.65315,0.51782,0.22223,1.9108,2.22794,2.06626,0.000387052,0.000387052,0.000387052
31,329.46,1.53639,1.81203,1.63191,0.47423,0.69261,0.61244,0.29146,1.98065,2.2005,2.00807,0.000369054,0.000369054,0.000369054
32,340.006,1.52427,1.79658,1.60273,0.41695,0.66074,0.5786,0.2579,1.9213,2.27731,2.00466,0.000351056,0.000351056,0.000351056
33,350.53,1.50216,1.77553,1.59287,0.63233,0.52454,0.64021,0.28468,1.92013,2.18973,2.01424,0.000333058,0.000333058,0.000333058
34,361.074,1.49319,1.73987,1.5846,0.39426,0.76117,0.59009,0.24118,1.93156,2.2482,2.01587,0.000315059,0.000315059,0.000315059
35,371.585,1.48136,1.7086,1.57282,0.32648,0.71088,0.59177,0.26369,1.93693,2.18621,1.99139,0.000297061,0.000297061,0.000297061
36,382.108,1.46086,1.6597,1.55961,0.39034,0.68235,0.52091,0.21758,1.97235,2.26256,2.0134,0.000279063,0.000279063,0.000279063
37,392.647,1.44979,1.66601,1.5556,0.39412,0.75801,0.63797,0.30217,1.93508,2.17437,1.98299,0.000261065,0.000261065,0.000261065
