epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.094,2.1348,3.60424,2.06258,0.65334,0.21632,0.13458,0.05038,2.42444,3.51806,2.30418,0.000298478,0.000298478,0.000298478
2,35.3951,2.00715,2.63704,1.95902,0.32567,0.21194,0.14145,0.03675,2.39991,3.86987,2.52269,0.000589568,0.000589568,0.000589568
3,52.656,2.00696,2.55042,1.98837,0.43267,0.2824,0.17991,0.06312,2.34992,5.52924,2.45568,0.00086866,0.00086866,0.00086866
4,69.8049,1.9863,2.49139,1.95577,0.54125,0.19356,0.15383,0.06544,2.4959,3.37234,2.39709,0.000855005,0.000855005,0.000855005
5,86.8357,1.94844,2.41307,1.92977,0.3754,0.34645,0.24279,0.08989,2.24343,3.18313,2.34979,0.000837007,0.000837007,0.000837007
6,104.009,1.91724,2.37346,1.93128,0.59015,0.1948,0.24354,0.08906,2.2694,3.24011,2.24948,0.000819009,0.000819009,0.000819009
7,121.015,1.859,2.30462,1.89086,0.5435,0.25064,0.3045,0.13508,2.27496,2.64872,2.25289,0.000801011,0.000801011,0.000801011
8,138.185,1.86282,2.30208,1.90111,0.23266,0.59031,0.42916,0.1393,2.16758,2.6556,2.17724,0.000783013,0.000783013,0.000783013
9,155.3,1.85196,2.27259,1.88571,0.23074,0.50296,0.39635,0.13347,2.18208,2.60079,2.24066,0.000765014,0.000765014,0.000765014
10,172.316,1.81985,2.2643,1.85737,0.46622,0.40569,0.59467,0.19782,2.04856,2.3117,2.06747,0.000747016,0.000747016,0.000747016
11,189.427,1.79893,2.20148,1.85174,0.4936,0.41136,0.49908,0.15212,2.16775,2.76778,2.15926,0.000729018,0.000729018,0.000729018
12,206.437,1.79382,2.17959,1.85208,0.57777,0.41369,0.39857,0.17943,2.19759,2.35822,2.23772,0.00071102,0.00071102,0.00071102
13,223.46,1.7671,2.19404,1.83268,0.64442,0.49847,0.52451,0.23836,2.12386,2.32734,2.1518,0.000693022,0.000693022,0.000693022
14,240.657,1.75245,2.13059,1.79414,0.46911,0.38625,0.44413,0.15956,2.21763,3.71091,2.19267,0.000675023,0.000675023,0.000675023
