epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7062,2.14371,3.58661,2.11319,0.16727,0.30353,0.16353,0.05674,2.61635,4.94446,2.62281,0.000546704,0.000546704,0.000546704
2,34.8307,2.14447,2.63001,2.11026,0.07236,0.16864,0.06989,0.01716,2.80733,13.8647,3.66697,0.00108054,0.00108054,0.00108054
3,50.7363,2.16303,2.66575,2.11885,0.748,0.0721,0.09185,0.02493,2.57856,6.4473,2.87511,0.00159238,0.00159238,0.00159238
4,66.5973,2.14549,2.59791,2.14125,0.11063,0.23725,0.07051,0.02537,2.54258,13.3486,2.8788,0.00156798,0.00156798,0.00156798
5,82.4536,2.05423,2.5112,2.06967,0.17697,0.17541,0.15613,0.07069,2.37144,5.4586,2.50001,0.00153497,0.00153497,0.00153497
6,98.3514,2.02408,2.46884,2.02494,0.17727,0.24181,0.12098,0.0336,2.76285,4.46546,2.74056,0.00150197,0.00150197,0.00150197
7,114.202,1.99476,2.42677,1.97657,0.24307,0.2662,0.21362,0.10513,2.36647,2.89701,2.47068,0.00146896,0.00146896,0.00146896
8,130.184,1.94711,2.43565,1.98148,0.13735,0.34824,0.12077,0.0522,2.31887,3.4423,2.47556,0.00143595,0.00143595,0.00143595
9,146.036,1.9342,2.37484,1.98475,0.42876,0.27185,0.31601,0.1213,2.24049,2.6298,2.3499,0.00140295,0.00140295,0.00140295
10,162.043,1.91901,2.3023,1.95734,0.36754,0.4708,0.41285,0.18039,2.05821,3.20017,2.14195,0.00136994,0.00136994,0.00136994
11,178.037,1.8849,2.29007,1.91452,0.32757,0.43865,0.30611,0.12287,2.12861,2.71055,2.18543,0.00133693,0.00133693,0.00133693
12,193.9,1.88202,2.25325,1.89931,0.26391,0.27421,0.26996,0.08046,2.4227,3.07905,2.36307,0.00130393,0.00130393,0.00130393
13,209.808,1.84174,2.25549,1.89703,0.35801,0.41131,0.35747,0.14145,2.15124,2.37389,2.27267,0.00127092,0.00127092,0.00127092
14,225.732,1.83988,2.23929,1.90187,0.45512,0.35957,0.34708,0.13359,2.20073,2.38468,2.20189,0.00123791,0.00123791,0.00123791
