epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7577,2.2849,3.0566,2.24594,0.14672,0.18847,0.06576,0.02319,3.0953,23.8122,5.00602,0.000546704,0.000546704,0.000546704
2,64.2607,2.30884,2.76581,2.25765,0.02149,0.10976,0.01533,0.005,3.23196,23.0055,4.17972,0.00108054,0.00108054,0.00108054
3,96.5562,2.26886,2.73371,2.19746,0.01841,0.0223,0.00353,0.00144,3.59619,33.2775,5.93681,0.00159238,0.00159238,0.00159238
4,128.569,2.19871,2.63293,2.1561,0.52503,0.03659,0.00733,0.00225,3.87484,13.9425,4.15361,0.00156798,0.00156798,0.00156798
5,160.75,2.14827,2.57259,2.13245,0.05883,0.11986,0.03245,0.00943,3.0765,8.09017,2.95424,0.00153497,0.00153497,0.00153497
6,192.777,2.0958,2.53674,2.09384,0.57569,0.09042,0.07944,0.02978,2.60577,5.36817,2.54583,0.00150197,0.00150197,0.00150197
7,225.612,2.05962,2.4881,2.05532,0.1441,0.08537,0.07036,0.02769,2.76087,4.27768,2.66078,0.00146896,0.00146896,0.00146896
8,257.566,2.0433,2.48616,2.05984,0.79472,0.15854,0.24429,0.08301,2.42669,2.99614,2.40457,0.00143595,0.00143595,0.00143595
9,290.312,2.00416,2.44489,2.06098,0.17562,0.19808,0.1645,0.06309,2.36284,3.07098,2.36532,0.00140295,0.00140295,0.00140295
10,322.32,2.00856,2.42369,2.04356,0.00853,0.34405,0.01432,0.00337,3.23915,29.9114,3.45001,0.00136994,0.00136994,0.00136994
11,354.292,1.95778,2.37905,2.00275,0.19013,0.43952,0.16841,0.05713,2.33116,3.08565,2.29773,0.00133693,0.00133693,0.00133693
12,386.136,1.96535,2.3323,1.99689,0.19052,0.4336,0.22111,0.08437,2.25817,2.54304,2.14205,0.00130393,0.00130393,0.00130393
13,418.193,1.93409,2.35997,1.98754,0.22977,0.44543,0.25146,0.10176,2.17393,2.47733,2.18339,0.00127092,0.00127092,0.00127092
14,450.734,1.92947,2.34609,1.98839,0.43308,0.22456,0.2372,0.0808,2.21401,2.57202,2.13668,0.00123791,0.00123791,0.00123791
15,483.039,1.90616,2.28028,1.94887,0.35702,0.40546,0.34603,0.12337,2.15772,2.67556,2.10148,0.00120491,0.00120491,0.00120491
16,515.629,1.88018,2.30818,1.96024,0.31935,0.45676,0.32634,0.1222,2.17094,2.46102,2.04599,0.0011719,0.0011719,0.0011719
17,547.62,1.8751,2.2723,1.93626,0.53799,0.36216,0.38479,0.14597,2.09901,2.29911,2.02891,0.00113889,0.00113889,0.00113889
18,580.213,1.87163,2.24714,1.92993,0.36375,0.38569,0.32789,0.12059,2.21703,2.25893,2.13013,0.00110589,0.00110589,0.00110589
19,612.316,1.86394,2.26308,1.93281,0.33788,0.45209,0.35464,0.14124,2.16518,2.30078,2.10647,0.00107288,0.00107288,0.00107288
20,644.291,1.82737,2.24688,1.9054,0.25128,0.37559,0.3104,0.11146,2.1973,2.59103,2.13977,0.00103987,0.00103987,0.00103987
21,676.241,1.80805,2.20135,1.88447,0.33176,0.37349,0.34047,0.11678,2.27004,2.34787,2.18475,0.00100687,0.00100687,0.00100687
22,708.176,1.79581,2.17085,1.87666,0.37434,0.37017,0.28702,0.10374,2.07433,2.55102,2.1125,0.000973861,0.000973861,0.000973861
23,740.293,1.80482,2.18491,1.89081,0.44123,0.40466,0.37512,0.13311,2.15736,2.23533,2.12877,0.000940855,0.000940855,0.000940855
24,772.233,1.77874,2.18592,1.87687,0.39296,0.35415,0.38091,0.13813,2.16759,2.37073,2.13004,0.000907848,0.000907848,0.000907848
25,804.179,1.77515,2.15315,1.86408,0.46352,0.38987,0.35787,0.13515,2.08164,2.34585,2.02339,0.000874842,0.000874842,0.000874842
26,836.155,1.77892,2.13105,1.86473,0.37704,0.41685,0.32678,0.12843,2.16701,2.3718,2.15248,0.000841835,0.000841835,0.000841835
27,868.093,1.76619,2.12266,1.87136,0.35613,0.47696,0.3855,0.13969,2.069,2.2476,2.03936,0.000808828,0.000808828,0.000808828
28,900.019,1.75103,2.09913,1.85265,0.30847,0.41303,0.29351,0.10676,2.17892,2.46384,2.12095,0.000775822,0.000775822,0.000775822
29,931.977,1.71174,2.09122,1.82119,0.59634,0.30451,0.35629,0.13341,2.04391,2.30024,2.04023,0.000742815,0.000742815,0.000742815
30,963.903,1.709,2.06631,1.81787,0.35538,0.4609,0.41411,0.17053,2.0724,2.18907,2.10785,0.000709809,0.000709809,0.000709809
31,996.491,1.6943,2.07468,1.82271,0.59371,0.35119,0.44802,0.19973,1.98805,2.15769,2.04734,0.000676802,0.000676802,0.000676802
32,1029.05,1.71277,2.0531,1.82827,0.67372,0.41175,0.44659,0.16893,2.11491,2.2511,2.18486,0.000643795,0.000643795,0.000643795
33,1061,1.68293,2.04618,1.81586,0.55578,0.38849,0.42624,0.16397,2.00505,2.22122,1.99311,0.000610789,0.000610789,0.000610789
34,1092.95,1.691,2.03905,1.83288,0.59059,0.42012,0.46387,0.1879,2.10222,2.21273,2.12272,0.000577782,0.000577782,0.000577782
35,1125.05,1.69116,2.00833,1.80433,0.61061,0.36339,0.45158,0.19453,2.04285,2.13637,2.04108,0.000544776,0.000544776,0.000544776
36,1157.01,1.6618,1.97555,1.78243,0.74532,0.33395,0.43414,0.15963,2.08991,2.20123,2.13159,0.000511769,0.000511769,0.000511769
37,1189.15,1.65491,1.98821,1.79913,0.53701,0.46354,0.46878,0.20424,2.05169,2.04162,2.09428,0.000478762,0.000478762,0.000478762
38,1221.75,1.66316,1.99662,1.77917,0.56333,0.44161,0.44209,0.18845,1.98123,2.24097,2.08734,0.000445756,0.000445756,0.000445756
39,1253.84,1.61673,1.95356,1.77321,0.44587,0.47364,0.41362,0.17377,2.08464,2.1876,2.17922,0.000412749,0.000412749,0.000412749
40,1285.75,1.61688,1.93469,1.76363,0.50786,0.47878,0.47799,0.21542,2.00915,2.10227,2.09352,0.000379743,0.000379743,0.000379743
41,1319.32,1.69508,2.09285,1.89661,0.49774,0.47401,0.46796,0.18308,2.02676,2.14967,2.09566,0.000346736,0.000346736,0.000346736
42,1351.32,1.65473,1.9898,1.87058,0.66342,0.48847,0.51564,0.21718,1.98957,2.10141,2.11081,0.000313729,0.000313729,0.000313729
43,1383.86,1.63815,1.97992,1.85791,0.52736,0.46477,0.47109,0.20175,2.04532,2.08841,2.12031,0.000280723,0.000280723,0.000280723
44,1415.7,1.59608,1.925,1.82791,0.44453,0.57329,0.4799,0.19813,2.01878,2.12406,2.11555,0.000247716,0.000247716,0.000247716
45,1447.78,1.59081,1.88562,1.81791,0.57101,0.52339,0.53096,0.22937,1.99079,2.04562,2.08518,0.00021471,0.00021471,0.00021471
46,1480.27,1.59451,1.90491,1.82967,0.55417,0.4845,0.50671,0.22761,1.96242,2.08556,2.06189,0.000181703,0.000181703,0.000181703
47,1512.28,1.58099,1.86213,1.81805,0.62329,0.53776,0.55119,0.23669,1.98407,2.08717,2.07988,0.000148696,0.000148696,0.000148696
48,1544.77,1.53731,1.81113,1.78775,0.5779,0.55068,0.55081,0.23078,1.97111,2.06495,2.12644,0.00011569,0.00011569,0.00011569
49,1576.9,1.54446,1.79966,1.8,0.61848,0.55605,0.55058,0.25343,1.96589,2.00173,2.08271,8.26832e-05,8.26832e-05,8.26832e-05
50,1609.39,1.53266,1.7789,1.77266,0.60112,0.52346,0.53876,0.23893,1.9485,2.04371,2.09466,4.96766e-05,4.96766e-05,4.96766e-05
