epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8883,2.42202,5.57266,2.59313,0.54017,0.03659,0.02138,0.00532,2.84242,6.63077,2.89762,0.000553453,0.000553453,0.000553453
2,155.718,2.3825,3.11535,2.5328,0.13649,0.13205,0.10605,0.04217,2.89295,4.26151,2.84183,0.00108716,0.00108716,0.00108716
3,232.501,2.30443,2.98974,2.53359,0.13289,0.28135,0.09389,0.02191,2.79381,2.82882,2.5447,0.00159886,0.00159886,0.00159886
4,309.052,2.25833,2.92995,2.47262,0.71932,0.13415,0.1832,0.06692,2.46826,3.26177,2.34076,0.00156798,0.00156798,0.00156798
5,385.81,2.20485,2.89214,2.40605,0.62179,0.12195,0.14222,0.04411,2.62869,2.85687,2.47428,0.00153497,0.00153497,0.00153497
6,462.393,2.18307,2.80903,2.35663,0.7959,0.13415,0.20161,0.07274,2.38066,2.7438,2.34944,0.00150197,0.00150197,0.00150197
7,539.113,2.14225,2.79249,2.33895,0.41081,0.15592,0.2109,0.08174,2.48157,2.79077,2.35877,0.00146896,0.00146896,0.00146896
8,616.046,2.12251,2.70413,2.29857,0.15917,0.28135,0.09444,0.02846,2.41578,3.01927,2.32751,0.00143595,0.00143595,0.00143595
9,692.609,2.0921,2.71873,2.27373,0.44123,0.30341,0.24224,0.09114,2.33244,2.68138,2.23061,0.00140295,0.00140295,0.00140295
10,769.216,2.07628,2.69869,2.29279,0.24632,0.30537,0.19729,0.06724,2.43609,2.81501,2.36093,0.00136994,0.00136994,0.00136994
11,845.775,2.07521,2.69071,2.26108,0.2508,0.37882,0.22633,0.07545,2.28252,2.5933,2.17938,0.00133693,0.00133693,0.00133693
12,922.294,2.03379,2.60388,2.23987,0.2352,0.41131,0.21164,0.06741,2.24531,2.71191,2.14592,0.00130393,0.00130393,0.00130393
13,999.05,2.03634,2.6253,2.21557,0.72665,0.19512,0.23585,0.08522,2.34794,2.61101,2.20132,0.00127092,0.00127092,0.00127092
14,1075.85,2.01899,2.59393,2.19311,0.40176,0.1392,0.23547,0.08759,2.43741,2.65799,2.32897,0.00123791,0.00123791,0.00123791
15,1152.46,1.99136,2.54598,2.18825,0.44851,0.37977,0.37708,0.12172,2.27966,2.41183,2.16123,0.00120491,0.00120491,0.00120491
16,1229.13,2.00022,2.55625,2.17937,0.32652,0.29355,0.24358,0.07332,2.21344,2.47161,2.0867,0.0011719,0.0011719,0.0011719
17,1305.73,2.01148,2.50771,2.16604,0.64044,0.2669,0.29223,0.12262,2.20806,2.47686,2.08392,0.00113889,0.00113889,0.00113889
18,1382.37,1.98059,2.4883,2.15053,0.35676,0.34023,0.31197,0.10628,2.26312,2.34053,2.11954,0.00110589,0.00110589,0.00110589
19,1459.08,1.95813,2.48422,2.14907,0.41368,0.23389,0.31678,0.11637,2.27019,2.53082,2.18622,0.00107288,0.00107288,0.00107288
20,1535.69,1.94089,2.44782,2.1503,0.28871,0.40779,0.29837,0.09728,2.24679,2.34731,2.10066,0.00103987,0.00103987,0.00103987
21,1612.33,1.95911,2.43024,2.14612,0.22584,0.46919,0.2778,0.0952,2.23979,2.54525,2.08302,0.00100687,0.00100687,0.00100687
22,1688.95,1.94657,2.43104,2.13933,0.36512,0.47906,0.3838,0.13266,2.19264,2.35775,2.08259,0.000973861,0.000973861,0.000973861
23,1765.63,1.91357,2.3803,2.10981,0.21848,0.4862,0.32185,0.11989,2.18602,2.40376,2.06387,0.000940855,0.000940855,0.000940855
24,1842.22,1.90865,2.4008,2.10906,0.28902,0.36569,0.33638,0.12669,2.27335,2.30814,2.0979,0.000907848,0.000907848,0.000907848
25,1918.83,1.90687,2.36587,2.11866,0.2681,0.50554,0.33943,0.11531,2.27786,2.43331,2.13893,0.000874842,0.000874842,0.000874842
26,1995.45,1.87874,2.32861,2.09948,0.26379,0.52226,0.36791,0.13028,2.18553,2.38382,2.09461,0.000841835,0.000841835,0.000841835
27,2071.97,1.88311,2.34334,2.11514,0.36988,0.45886,0.36888,0.12202,2.25817,2.29609,2.13718,0.000808828,0.000808828,0.000808828
28,2148.6,1.88755,2.34202,2.10439,0.31975,0.44161,0.35668,0.12627,2.17511,2.23152,2.03276,0.000775822,0.000775822,0.000775822
29,2225.16,1.87045,2.3001,2.07474,0.276,0.53166,0.34073,0.11679,2.1998,2.39131,2.10818,0.000742815,0.000742815,0.000742815
30,2301.79,1.85469,2.33527,2.07014,0.32322,0.44752,0.37103,0.14827,2.16655,2.19909,2.03725,0.000709809,0.000709809,0.000709809
31,2378.46,1.83995,2.26794,2.04519,0.37214,0.43726,0.36384,0.14085,2.1765,2.26086,2.08137,0.000676802,0.000676802,0.000676802
32,2455.15,1.83078,2.27326,2.07027,0.3414,0.48325,0.3549,0.12418,2.22396,2.35554,2.11009,0.000643795,0.000643795,0.000643795
33,2531.74,1.85848,2.26823,2.08662,0.33061,0.51424,0.40775,0.15131,2.14705,2.20659,2.04445,0.000610789,0.000610789,0.000610789
34,2608.63,1.83599,2.24393,2.03331,0.31881,0.47906,0.35362,0.14383,2.19903,2.2169,2.05985,0.000577782,0.000577782,0.000577782
35,2685.34,1.83079,2.19805,2.04688,0.40795,0.31498,0.38664,0.13604,2.24715,2.22761,2.08078,0.000544776,0.000544776,0.000544776
36,2761.9,1.81717,2.18834,2.03278,0.33485,0.51355,0.40365,0.1524,2.22746,2.18957,2.08194,0.000511769,0.000511769,0.000511769
37,2838.64,1.78772,2.19505,2.04176,0.42994,0.51146,0.44712,0.15904,2.20049,2.12261,2.07058,0.000478762,0.000478762,0.000478762
38,2915.38,1.79784,2.18941,2.01037,0.45331,0.52661,0.50504,0.1595,2.21894,2.11218,2.10475,0.000445756,0.000445756,0.000445756
39,2992.62,1.80342,2.14866,2.02171,0.42891,0.41008,0.42396,0.15906,2.21429,2.12279,2.08924,0.000412749,0.000412749,0.000412749
40,3069.47,1.77889,2.15757,2.03233,0.38957,0.46558,0.40162,0.14239,2.17573,2.10975,2.04592,0.000379743,0.000379743,0.000379743
41,3146.77,1.95594,2.30222,2.09391,0.49109,0.45827,0.45827,0.16383,2.16536,2.0418,2.01454,0.000346736,0.000346736,0.000346736
42,3223.19,1.90343,2.20797,2.05692,0.43295,0.49125,0.42472,0.15761,2.25774,2.05806,2.07343,0.000313729,0.000313729,0.000313729
43,3299.54,1.89991,2.14877,2.03277,0.46544,0.49002,0.46119,0.15281,2.25479,2.06215,2.12566,0.000280723,0.000280723,0.000280723
44,3375.94,1.8906,2.12184,2.06392,0.42782,0.45807,0.42056,0.14999,2.26405,2.06156,2.1073,0.000247716,0.000247716,0.000247716
45,3452.28,1.86983,2.1113,2.01187,0.4552,0.45664,0.46856,0.16089,2.22077,2.0544,2.07609,0.00021471,0.00021471,0.00021471
46,3528.58,1.87135,2.0891,1.97094,0.4495,0.45763,0.4125,0.14919,2.24212,2.04703,2.0505,0.000181703,0.000181703,0.000181703
47,3604.91,1.82129,2.055,1.99858,0.52131,0.42313,0.40866,0.15916,2.21887,2.02337,2.06791,0.000148696,0.000148696,0.000148696
48,3681.25,1.86098,2.07096,1.94513,0.54307,0.4313,0.42007,0.16481,2.21113,2.06466,2.07469,0.00011569,0.00011569,0.00011569
49,3757.63,1.80434,2.03759,1.97843,0.59503,0.39665,0.43087,0.16927,2.17528,2.02641,2.01286,8.26832e-05,8.26832e-05,8.26832e-05
50,3834.06,1.79908,1.9907,1.96567,0.54635,0.41599,0.42515,0.16977,2.18762,2.0083,2.04003,4.96766e-05,4.96766e-05,4.96766e-05
