epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9832,2.39709,3.63455,1.69127,0.28016,0.40066,0.1533,0.04725,2.33294,3.35437,2.02478,0.00030091,0.00030091,0.00030091
2,46.0879,2.38847,2.82813,1.71762,0.6657,0.11735,0.11702,0.04239,2.29321,3.9687,1.95079,0.000591953,0.000591953,0.000591953
3,68.1776,2.41837,2.85109,1.81076,0.21918,0.22977,0.06274,0.02147,2.40728,4.60673,2.12344,0.000870997,0.000870997,0.000870997
4,90.1543,2.42072,2.66963,1.74344,0.21145,0.23616,0.10675,0.04191,2.49337,3.64988,2.20209,0.000855005,0.000855005,0.000855005
5,112.096,2.3465,2.58559,1.77239,0.62014,0.02381,0.05013,0.02073,2.64435,4.72351,2.49896,0.000837007,0.000837007,0.000837007
6,134.2,2.31309,2.56025,1.73808,0.4237,0.2502,0.11622,0.0389,2.4399,2.51187,2.07604,0.000819009,0.000819009,0.000819009
7,156.2,2.27169,2.44792,1.69627,0.61714,0.18229,0.13034,0.05727,2.27966,2.85652,1.87946,0.000801011,0.000801011,0.000801011
8,178.779,2.23832,2.34402,1.66897,0.5058,0.34148,0.25837,0.08245,2.33072,2.58511,1.89648,0.000783013,0.000783013,0.000783013
9,201.371,2.24761,2.26205,1.66697,0.58557,0.17937,0.21832,0.1111,2.16025,2.68402,1.93074,0.000765014,0.000765014,0.000765014
10,223.89,2.16179,2.26829,1.68625,0.4807,0.35034,0.27127,0.12204,2.10641,2.25929,1.78524,0.000747016,0.000747016,0.000747016
11,246.638,2.16994,2.24263,1.6611,0.3523,0.48623,0.2445,0.09139,2.16798,2.41448,1.80812,0.000729018,0.000729018,0.000729018
12,268.806,2.15753,2.22863,1.6035,0.23623,0.36949,0.25615,0.08984,2.21299,3.03555,1.853,0.00071102,0.00071102,0.00071102
13,290.922,2.1904,2.17129,1.62819,0.28405,0.23584,0.13597,0.05129,2.36001,2.83121,1.9452,0.000693022,0.000693022,0.000693022
14,313.094,2.14848,2.28445,1.58512,0.47752,0.4949,0.5122,0.16057,2.44252,2.57947,1.91601,0.000675023,0.000675023,0.000675023
15,335.618,2.12619,2.12303,1.63258,0.27216,0.52504,0.38941,0.10081,2.32479,2.33567,1.9029,0.000657025,0.000657025,0.000657025
16,357.777,2.08686,2.07764,1.55625,0.57406,0.36558,0.33853,0.13726,2.22898,2.21938,1.88168,0.000639027,0.000639027,0.000639027
17,379.842,2.06855,2.01453,1.58633,0.40993,0.33095,0.2925,0.13593,2.21788,2.31238,1.8486,0.000621029,0.000621029,0.000621029
18,401.816,2.05685,2.00712,1.57679,0.57561,0.44688,0.41293,0.16039,2.23714,1.97116,1.86944,0.000603031,0.000603031,0.000603031
19,423.801,2.0627,2.01274,1.60073,0.57477,0.40782,0.35668,0.15342,2.11692,2.08808,1.808,0.000585032,0.000585032,0.000585032
20,445.739,2.00688,1.95387,1.55106,0.41382,0.41617,0.31593,0.12134,2.18723,2.15142,1.86964,0.000567034,0.000567034,0.000567034
21,467.639,2.02713,1.98861,1.52169,0.47566,0.56066,0.47371,0.13817,2.29895,2.15106,1.90966,0.000549036,0.000549036,0.000549036
22,489.757,2.01877,1.91114,1.57218,0.41228,0.57082,0.54944,0.17196,2.08987,2.09764,1.74348,0.000531038,0.000531038,0.000531038
23,512.61,2.00555,1.86557,1.51735,0.39563,0.46455,0.38719,0.13175,2.28354,2.01754,1.88391,0.00051304,0.00051304,0.00051304
24,534.76,1.96558,1.90912,1.52074,0.22034,0.46848,0.24715,0.11219,2.18856,2.19944,1.81609,0.000495041,0.000495041,0.000495041
25,557.094,1.96377,1.86358,1.51258,0.31687,0.68195,0.5153,0.19939,2.19823,2.0416,1.8403,0.000477043,0.000477043,0.000477043
26,579.692,1.95898,1.82268,1.50818,0.52775,0.51042,0.47779,0.17093,2.29806,2.10455,1.95542,0.000459045,0.000459045,0.000459045
27,601.815,1.9159,1.81278,1.51184,0.59614,0.34197,0.47201,0.12531,2.19522,2.07364,1.86822,0.000441047,0.000441047,0.000441047
28,623.739,1.90983,1.82599,1.50243,0.59172,0.43333,0.51508,0.18303,2.153,1.91589,1.87447,0.000423049,0.000423049,0.000423049
29,645.766,1.89056,1.76128,1.47068,0.35626,0.67541,0.57365,0.22931,2.11239,2.01665,1.81011,0.00040505,0.00040505,0.00040505
30,668.334,1.87582,1.81478,1.46309,0.55026,0.49599,0.58414,0.22781,2.10078,2.10082,1.81233,0.000387052,0.000387052,0.000387052
31,690.476,1.83039,1.71002,1.46678,0.30044,0.67923,0.59206,0.2187,2.1677,2.19026,1.85602,0.000369054,0.000369054,0.000369054
32,712.605,1.882,1.72191,1.46596,0.37128,0.66766,0.57675,0.21831,2.25028,1.96776,1.9074,0.000351056,0.000351056,0.000351056
33,734.843,1.89263,1.7323,1.48041,0.56664,0.47105,0.59262,0.28159,2.1437,1.84744,1.8068,0.000333058,0.000333058,0.000333058
34,757.557,1.84962,1.7331,1.43893,0.37703,0.47311,0.44282,0.21091,2.03824,1.82679,1.75839,0.000315059,0.000315059,0.000315059
35,779.951,1.78671,1.62149,1.43553,0.55933,0.40617,0.56986,0.20921,2.10752,1.90436,1.75793,0.000297061,0.000297061,0.000297061
36,802.533,1.85069,1.64064,1.42119,0.5967,0.47878,0.59056,0.20892,2.234,1.9691,1.83364,0.000279063,0.000279063,0.000279063
37,824.994,1.83696,1.67726,1.39738,0.49837,0.53095,0.58131,0.20471,2.17118,1.94389,1.77731,0.000261065,0.000261065,0.000261065
38,847.382,1.81238,1.59749,1.42621,0.25337,0.7148,0.48536,0.17552,2.16975,1.81862,1.77331,0.000243067,0.000243067,0.000243067
39,869.564,1.80505,1.59966,1.4034,0.42901,0.43836,0.37339,0.15638,2.16038,1.88268,1.77178,0.000225068,0.000225068,0.000225068
40,891.659,1.73861,1.60082,1.39052,0.63945,0.50903,0.63083,0.24326,2.10961,1.74106,1.78141,0.00020707,0.00020707,0.00020707
41,914.179,1.80136,1.99398,1.45444,0.46834,0.61787,0.6122,0.23623,2.0652,1.8824,1.77097,0.000189072,0.000189072,0.000189072
42,936.368,1.74208,1.75818,1.43347,0.48969,0.57692,0.55821,0.20152,2.0727,1.66616,1.75807,0.000171074,0.000171074,0.000171074
43,958.272,1.71603,1.67852,1.40409,0.47345,0.63688,0.50347,0.21967,2.02806,1.77107,1.77874,0.000153076,0.000153076,0.000153076
44,980.276,1.71838,1.67657,1.41083,0.60552,0.44865,0.45748,0.23397,2.0753,1.76153,1.80438,0.000135077,0.000135077,0.000135077
45,1002.35,1.71128,1.61695,1.42074,0.34586,0.65451,0.49462,0.21567,1.99317,1.71038,1.75834,0.000117079,0.000117079,0.000117079
46,1024.28,1.65522,1.55434,1.35378,0.46123,0.6169,0.58573,0.25558,2.00269,1.72246,1.7546,9.9081e-05,9.9081e-05,9.9081e-05
47,1046.28,1.66086,1.51993,1.37896,0.44129,0.67424,0.57556,0.28049,2.0315,1.69215,1.74328,8.10828e-05,8.10828e-05,8.10828e-05
48,1068.36,1.65235,1.56341,1.37512,0.39034,0.71098,0.57301,0.26383,2.00951,1.70357,1.726,6.30846e-05,6.30846e-05,6.30846e-05
49,1090.37,1.64352,1.51097,1.383,0.43004,0.65126,0.56882,0.28434,1.99618,1.70441,1.72756,4.50864e-05,4.50864e-05,4.50864e-05
50,1112.88,1.6542,1.56294,1.37251,0.38302,0.67698,0.56526,0.2598,2.00912,1.73428,1.72731,2.70882e-05,2.70882e-05,2.70882e-05
