epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6063,2.40705,3.99102,1.69885,0.44974,0.16976,0.12897,0.05922,2.47272,4.02089,2.03984,0.000294811,0.000294811,0.000294811
2,32.682,2.21909,2.61609,1.488,0.38657,0.20829,0.21247,0.08532,2.4943,24.3254,2.11604,0.000585974,0.000585974,0.000585974
3,42.9578,2.21642,2.43437,1.52142,0.34596,0.41571,0.27114,0.07609,2.48961,4.32998,2.59574,0.000865139,0.000865139,0.000865139
4,52.8787,2.19467,2.29003,1.5269,0.55814,0.16471,0.14935,0.06128,2.27523,3.32999,2.01064,0.000855005,0.000855005,0.000855005
5,62.8176,2.21915,2.29322,1.49316,0.23398,0.50603,0.36007,0.11575,2.45122,3.07025,2.15456,0.000837007,0.000837007,0.000837007
6,73.0091,2.16352,2.25912,1.48958,0.22832,0.35942,0.10005,0.03424,2.36905,4.23636,2.04454,0.000819009,0.000819009,0.000819009
7,82.996,2.14847,2.06758,1.46019,0.22601,0.52582,0.38473,0.14883,2.08352,2.23967,1.63561,0.000801011,0.000801011,0.000801011
8,93.1676,2.1027,2.02109,1.44327,0.3162,0.33929,0.32115,0.09724,2.40529,2.69854,2.07627,0.000783013,0.000783013,0.000783013
9,103.103,2.07702,1.99497,1.40065,0.5047,0.45438,0.53596,0.21052,2.24009,2.53612,1.84104,0.000765014,0.000765014,0.000765014
10,113.178,2.06107,2.01522,1.43069,0.30762,0.73161,0.56509,0.19883,2.10054,2.18914,1.64459,0.000747016,0.000747016,0.000747016
11,123.397,2.03975,1.91054,1.40621,0.52524,0.43325,0.44044,0.1645,2.30068,1.98287,1.77267,0.000729018,0.000729018,0.000729018
12,133.461,2.05203,1.89975,1.39871,0.20483,0.59768,0.35159,0.09081,2.45183,2.71176,2.04193,0.00071102,0.00071102,0.00071102
13,143.408,1.98887,1.84478,1.36586,0.43235,0.61833,0.4642,0.16635,2.28879,2.22817,1.77565,0.000693022,0.000693022,0.000693022
14,153.341,1.99225,1.82998,1.36319,0.36668,0.48223,0.50889,0.1764,2.31294,2.07003,1.74825,0.000675023,0.000675023,0.000675023
15,163.27,1.97246,1.80385,1.3648,0.38892,0.53493,0.44756,0.15759,2.38945,2.63111,1.88181,0.000657025,0.000657025,0.000657025
16,173.217,1.97847,1.87151,1.39616,0.38513,0.64283,0.52208,0.2062,2.20393,2.03642,1.67274,0.000639027,0.000639027,0.000639027
17,183.103,1.95164,1.76569,1.36965,0.77837,0.31825,0.41545,0.20037,2.18424,1.91492,1.71753,0.000621029,0.000621029,0.000621029
18,192.962,1.91764,1.75733,1.31417,0.39291,0.4694,0.47246,0.20741,2.16187,1.82082,1.65419,0.000603031,0.000603031,0.000603031
19,202.915,1.88885,1.73102,1.34079,0.46888,0.59336,0.47985,0.18607,2.34694,2.5506,1.86169,0.000585032,0.000585032,0.000585032
20,212.923,1.88278,1.65203,1.32799,0.36687,0.46095,0.44566,0.19379,2.26783,1.8111,1.77095,0.000567034,0.000567034,0.000567034
21,222.837,1.91697,1.63665,1.29967,0.41324,0.44195,0.41793,0.22038,2.11943,1.97412,1.68499,0.000549036,0.000549036,0.000549036
22,232.787,1.89557,1.62217,1.29065,0.48073,0.49991,0.51871,0.24988,2.05505,1.78468,1.60981,0.000531038,0.000531038,0.000531038
23,243.147,1.86683,1.72282,1.30748,0.44931,0.51362,0.49297,0.22412,2.16545,1.77267,1.69158,0.00051304,0.00051304,0.00051304
24,253.089,1.83693,1.56917,1.28257,0.36446,0.3018,0.38927,0.20866,2.14716,1.88284,1.66365,0.000495041,0.000495041,0.000495041
25,263.218,1.84719,1.56824,1.28042,0.67916,0.5979,0.66846,0.3144,1.99633,1.79239,1.5538,0.000477043,0.000477043,0.000477043
26,273.339,1.79885,1.49468,1.27458,0.41785,0.75221,0.7038,0.29333,2.06792,1.62029,1.61897,0.000459045,0.000459045,0.000459045
27,283.337,1.78171,1.49665,1.28757,0.40523,0.54755,0.52737,0.23464,2.00924,1.74422,1.57285,0.000441047,0.000441047,0.000441047
28,293.19,1.77114,1.49742,1.26607,0.44441,0.71784,0.55363,0.24004,2.23318,1.77215,1.73379,0.000423049,0.000423049,0.000423049
29,303.045,1.7964,1.50195,1.29471,0.49259,0.51859,0.55109,0.21557,2.13529,1.61705,1.64351,0.00040505,0.00040505,0.00040505
30,312.926,1.7668,1.48278,1.2587,0.52246,0.69631,0.63393,0.27283,2.1272,1.75958,1.64329,0.000387052,0.000387052,0.000387052
31,322.824,1.73123,1.42324,1.26923,0.65923,0.63628,0.68543,0.37066,2.11011,1.6719,1.6582,0.000369054,0.000369054,0.000369054
32,332.866,1.69352,1.36954,1.24016,0.63214,0.67167,0.66806,0.28834,2.12089,1.73987,1.64215,0.000351056,0.000351056,0.000351056
33,342.737,1.6908,1.41027,1.25126,0.5255,0.65455,0.67095,0.31998,2.03827,1.73189,1.6164,0.000333058,0.000333058,0.000333058
34,352.588,1.69664,1.3803,1.21818,0.47857,0.679,0.67787,0.30797,2.04033,1.71237,1.60171,0.000315059,0.000315059,0.000315059
35,362.475,1.66408,1.34026,1.2299,0.67601,0.61482,0.69839,0.31057,2.15672,1.61181,1.68193,0.000297061,0.000297061,0.000297061
36,372.395,1.67132,1.3501,1.21351,0.64051,0.55658,0.67174,0.27571,2.15921,1.68519,1.6436,0.000279063,0.000279063,0.000279063
37,382.331,1.64364,1.33304,1.20505,0.61493,0.52001,0.65417,0.2539,2.08949,1.79735,1.634,0.000261065,0.000261065,0.000261065
38,392.203,1.63738,1.28285,1.20712,0.58075,0.59489,0.66137,0.34016,2.02658,1.92465,1.57037,0.000243067,0.000243067,0.000243067
39,402.049,1.62845,1.2683,1.21335,0.51625,0.42984,0.52988,0.31576,2.04253,1.69651,1.58089,0.000225068,0.000225068,0.000225068
40,411.888,1.62149,1.25385,1.18369,0.41856,0.484,0.43698,0.21949,2.11121,1.70178,1.64848,0.00020707,0.00020707,0.00020707
41,422.546,1.70652,1.43043,1.26049,0.45517,0.61114,0.62003,0.25496,2.16023,1.81433,1.6402,0.000189072,0.000189072,0.000189072
42,432.401,1.63197,1.31899,1.22544,0.36378,0.53277,0.51743,0.28069,2.01599,1.73165,1.56848,0.000171074,0.000171074,0.000171074
43,442.223,1.62843,1.27441,1.2084,0.47619,0.65141,0.60029,0.31997,2.14464,1.85083,1.68653,0.000153076,0.000153076,0.000153076
44,452.053,1.60888,1.24618,1.20409,0.45963,0.6446,0.58882,0.29427,2.17458,1.72605,1.69154,0.000135077,0.000135077,0.000135077
45,461.837,1.58828,1.2298,1.19383,0.43101,0.66967,0.64374,0.30738,2.09022,1.68466,1.6307,0.000117079,0.000117079,0.000117079
46,471.669,1.55236,1.14821,1.20109,0.50708,0.6046,0.57126,0.30122,2.07594,1.67369,1.63962,9.9081e-05,9.9081e-05,9.9081e-05
47,481.454,1.56907,1.15064,1.19089,0.50875,0.5912,0.57499,0.30469,2.0806,1.74303,1.63909,8.10828e-05,8.10828e-05,8.10828e-05
48,491.264,1.56004,1.13495,1.17944,0.47727,0.58757,0.56996,0.31932,2.12891,1.83113,1.6678,6.30846e-05,6.30846e-05,6.30846e-05
49,501.059,1.52973,1.15278,1.18806,0.44032,0.63096,0.56679,0.3455,2.12154,1.84844,1.67114,4.50864e-05,4.50864e-05,4.50864e-05
50,510.87,1.53803,1.10088,1.17874,0.5031,0.64133,0.57903,0.3248,2.08993,1.77533,1.64047,2.70882e-05,2.70882e-05,2.70882e-05
