epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9328,2.44016,4.14576,1.78639,0.74854,0.12245,0.05706,0.02453,3.13935,5.45579,2.74978,0.000294811,0.000294811,0.000294811
2,39.0818,2.31083,2.74875,1.62438,0.01147,0.01645,0.00707,0.00265,3.44504,inf,10.4633,0.000589356,0.000589356,0.000589356
3,59.1572,2.3535,2.64565,1.64968,0.44637,0.12188,0.02329,0.00888,2.55533,28.6488,2.74312,0.000875331,0.000875331,0.000875331
4,78.9717,2.34128,2.45477,1.65945,0.20993,0.24498,0.04664,0.016,2.2376,9.92228,2.26071,0.000870432,0.000870432,0.000870432
5,98.8553,2.29934,2.52082,1.65044,0.32572,0.27065,0.07333,0.01936,2.49875,5.65936,2.28035,0.000857577,0.000857577,0.000857577
6,118.721,2.25935,2.35888,1.61915,0.36715,0.11485,0.08033,0.02942,2.47561,3.41067,2.26131,0.000844721,0.000844721,0.000844721
7,139.004,2.28197,2.27511,1.61012,0.71006,0.14059,0.27504,0.05667,2.55978,4.66881,2.23675,0.000831865,0.000831865,0.000831865
8,159.267,2.18485,2.15309,1.58135,0.61903,0.06122,0.05338,0.02005,2.67121,11.1203,2.41167,0.000819009,0.000819009,0.000819009
9,178.893,2.18348,2.12996,1.53463,0.31901,0.25119,0.21242,0.08437,2.40563,2.83006,1.94209,0.000806153,0.000806153,0.000806153
10,198.975,2.12885,2.15888,1.55788,0.7235,0.11587,0.25294,0.08623,2.33474,3.26476,2.13278,0.000793297,0.000793297,0.000793297
11,219.256,2.15093,2.10598,1.55498,0.65131,0.19662,0.2428,0.1103,2.29694,2.45704,2.01651,0.000780441,0.000780441,0.000780441
12,239.467,2.15098,2.053,1.53339,0.25709,0.25208,0.18565,0.08091,2.36546,2.64614,2.15901,0.000767586,0.000767586,0.000767586
13,259.13,2.09158,1.99951,1.51626,0.53664,0.28511,0.32843,0.0837,2.35756,2.24415,1.93216,0.00075473,0.00075473,0.00075473
14,279,2.08369,1.95298,1.50886,0.20355,0.53887,0.42555,0.17841,2.23149,2.81181,1.9796,0.000741874,0.000741874,0.000741874
15,299.158,2.03931,1.95077,1.49331,0.30163,0.15997,0.14328,0.05928,2.45386,2.68286,2.21419,0.000729018,0.000729018,0.000729018
16,319.027,2.04652,2.00025,1.52224,0.65914,0.21994,0.33837,0.15174,2.13799,2.14372,1.76973,0.000716162,0.000716162,0.000716162
17,338.726,2.04914,1.90338,1.49445,0.4214,0.2368,0.27191,0.12279,2.25783,2.31323,1.88638,0.000703306,0.000703306,0.000703306
18,358.247,2.01178,1.92604,1.44258,0.28117,0.46204,0.26433,0.09819,2.113,2.09514,1.70222,0.00069045,0.00069045,0.00069045
19,378.004,1.96602,1.89777,1.45334,0.24272,0.26182,0.2564,0.11552,2.4414,2.31193,2.0636,0.000677595,0.000677595,0.000677595
20,397.683,1.97662,1.82837,1.45877,0.28272,0.29568,0.26735,0.12539,2.26679,2.09819,1.83411,0.000664739,0.000664739,0.000664739
21,417.339,1.98457,1.78708,1.41149,0.22646,0.48325,0.26483,0.1069,2.13477,2.05105,1.75122,0.000651883,0.000651883,0.000651883
22,437.336,1.98352,1.77839,1.43299,0.26137,0.56854,0.4606,0.15318,2.07877,2.04055,1.77361,0.000639027,0.000639027,0.000639027
23,457.199,1.94824,1.79715,1.42122,0.46785,0.4404,0.51524,0.21055,2.17568,2.05955,1.84284,0.000626171,0.000626171,0.000626171
24,477.432,1.927,1.71666,1.4045,0.47152,0.39049,0.32835,0.16057,2.121,2.04849,1.80143,0.000613315,0.000613315,0.000613315
25,497.265,1.96238,1.74803,1.41891,0.23366,0.49424,0.32791,0.14322,2.102,2.08748,1.82657,0.000600459,0.000600459,0.000600459
26,517.277,1.87943,1.66567,1.39916,0.45558,0.63464,0.60205,0.25816,2.20696,1.88806,1.82228,0.000587604,0.000587604,0.000587604
27,537.691,1.86891,1.6713,1.39716,0.34101,0.49272,0.4755,0.20929,2.15203,1.9235,1.77309,0.000574748,0.000574748,0.000574748
28,557.362,1.8497,1.66291,1.40405,0.54678,0.40097,0.43737,0.16818,2.20303,1.86586,1.79301,0.000561892,0.000561892,0.000561892
29,577.039,1.86363,1.65338,1.39809,0.48404,0.43847,0.4594,0.17473,2.17263,1.91241,1.81144,0.000549036,0.000549036,0.000549036
30,596.784,1.86125,1.66186,1.38738,0.6283,0.39528,0.45338,0.15647,2.18324,1.92515,1.87954,0.00053618,0.00053618,0.00053618
31,616.614,1.82701,1.62815,1.38637,0.35086,0.35051,0.357,0.18962,2.22089,1.93405,1.91193,0.000523324,0.000523324,0.000523324
32,636.304,1.80036,1.53658,1.38205,0.33763,0.34725,0.37159,0.16837,2.20109,1.83583,1.89383,0.000510468,0.000510468,0.000510468
33,655.962,1.81029,1.62597,1.3823,0.48964,0.47262,0.44463,0.21805,1.9838,1.75704,1.73284,0.000497613,0.000497613,0.000497613
34,675.785,1.79525,1.55288,1.34632,0.42837,0.37743,0.4376,0.29162,2.13891,1.85747,1.79395,0.000484757,0.000484757,0.000484757
35,696.103,1.774,1.54569,1.34726,0.65516,0.5298,0.51407,0.21878,2.20746,1.80004,1.91589,0.000471901,0.000471901,0.000471901
36,715.796,1.78729,1.54022,1.34602,0.33628,0.68053,0.44813,0.15604,2.3104,1.78288,1.94623,0.000459045,0.000459045,0.000459045
37,735.421,1.73291,1.52576,1.32346,0.38504,0.63869,0.53835,0.27569,2.2012,1.96588,1.82002,0.000446189,0.000446189,0.000446189
38,755.377,1.74338,1.46051,1.31744,0.55685,0.56725,0.48449,0.20041,2.18586,1.77898,1.77805,0.000433333,0.000433333,0.000433333
39,775.085,1.74762,1.44867,1.34124,0.50881,0.49507,0.48065,0.18476,2.2607,1.87583,1.86142,0.000420477,0.000420477,0.000420477
40,794.768,1.72123,1.45805,1.3048,0.42823,0.41489,0.42918,0.21907,2.04237,1.71125,1.73313,0.000407622,0.000407622,0.000407622
41,814.425,1.73678,1.4606,1.32089,0.44316,0.52051,0.51512,0.28433,2.16483,1.85756,1.83043,0.000394766,0.000394766,0.000394766
42,834.569,1.68298,1.46102,1.27915,0.44071,0.70733,0.63265,0.31531,2.09396,1.85327,1.75705,0.00038191,0.00038191,0.00038191
43,854.947,1.67719,1.36347,1.28184,0.51759,0.577,0.63197,0.28612,2.08182,1.81612,1.76538,0.000369054,0.000369054,0.000369054
44,874.615,1.67122,1.37432,1.28951,0.54153,0.62835,0.5866,0.26108,2.23377,1.87062,1.85827,0.000356198,0.000356198,0.000356198
45,894.271,1.62448,1.3718,1.27625,0.55255,0.57016,0.56052,0.23286,2.19122,1.77785,1.87917,0.000343342,0.000343342,0.000343342
46,914.003,1.64308,1.37897,1.2895,0.45076,0.44143,0.51411,0.23959,2.11196,1.73359,1.78904,0.000330486,0.000330486,0.000330486
47,933.793,1.62607,1.31992,1.27881,0.70235,0.4849,0.52398,0.23068,2.21869,1.93843,1.91132,0.000317631,0.000317631,0.000317631
48,953.442,1.60453,1.33752,1.27948,0.5012,0.51193,0.52117,0.26749,2.20705,1.89429,1.8553,0.000304775,0.000304775,0.000304775
49,973.168,1.60384,1.28728,1.25601,0.63956,0.65607,0.67386,0.28364,2.13457,1.90805,1.76169,0.000291919,0.000291919,0.000291919
50,993.017,1.59903,1.22396,1.22886,0.36163,0.59084,0.49414,0.23255,2.15299,1.68685,1.79449,0.000279063,0.000279063,0.000279063
51,1012.83,1.54489,1.20268,1.21943,0.55727,0.61487,0.59511,0.22863,2.10425,1.83851,1.78784,0.000266207,0.000266207,0.000266207
52,1032.65,1.57797,1.25315,1.23624,0.5377,0.62024,0.5675,0.27752,2.22511,1.95311,1.92879,0.000253351,0.000253351,0.000253351
53,1052.51,1.54345,1.20889,1.21846,0.7148,0.46724,0.53676,0.27903,2.1882,2.02081,1.90458,0.000240495,0.000240495,0.000240495
54,1072.14,1.50974,1.23281,1.23402,0.57773,0.63639,0.61906,0.31521,2.17556,1.85828,1.89107,0.00022764,0.00022764,0.00022764
55,1092.05,1.52172,1.23391,1.2183,0.70049,0.57984,0.69383,0.28452,2.15588,1.82768,1.79456,0.000214784,0.000214784,0.000214784
56,1111.76,1.481,1.17558,1.21137,0.59733,0.65793,0.68673,0.28391,2.14997,1.77677,1.80942,0.000201928,0.000201928,0.000201928
57,1131.45,1.51933,1.1599,1.2075,0.6752,0.62452,0.62498,0.26941,2.1372,1.81007,1.82085,0.000189072,0.000189072,0.000189072
58,1151.21,1.52383,1.19793,1.23392,0.648,0.64535,0.63178,0.28231,2.1326,1.78773,1.81024,0.000176216,0.000176216,0.000176216
59,1171.14,1.5068,1.18218,1.20978,0.55627,0.52929,0.53378,0.25911,2.11423,1.89465,1.80258,0.00016336,0.00016336,0.00016336
60,1190.94,1.45091,1.12233,1.18539,0.49758,0.59995,0.58259,0.31874,2.09094,1.7468,1.73013,0.000150504,0.000150504,0.000150504
61,1211.99,1.49353,1.25836,1.21588,0.63387,0.47063,0.62171,0.31686,2.13911,2.05353,1.74356,0.000137649,0.000137649,0.000137649
62,1232.33,1.50555,1.1865,1.21259,0.37634,0.71631,0.61946,0.31012,2.1344,1.86249,1.78927,0.000124793,0.000124793,0.000124793
63,1252.13,1.47136,1.1711,1.21621,0.58893,0.63585,0.64044,0.32508,2.10071,1.84424,1.7721,0.000111937,0.000111937,0.000111937
64,1272.42,1.45989,1.0984,1.18131,0.64913,0.59637,0.6444,0.30017,2.13397,1.88418,1.7926,9.9081e-05,9.9081e-05,9.9081e-05
65,1291.94,1.41478,1.16588,1.18061,0.5591,0.65388,0.66823,0.35802,2.06057,1.82788,1.7596,8.62251e-05,8.62251e-05,8.62251e-05
66,1312.13,1.41441,1.08842,1.20642,0.66251,0.62743,0.67423,0.35816,2.09555,1.82914,1.79605,7.33693e-05,7.33693e-05,7.33693e-05
67,1332.55,1.39728,1.07662,1.16407,0.63965,0.61203,0.67364,0.35767,2.12431,1.84751,1.78938,6.05134e-05,6.05134e-05,6.05134e-05
68,1352.21,1.37296,1.06491,1.17282,0.67364,0.62983,0.67843,0.34753,2.09061,1.83746,1.76744,4.76576e-05,4.76576e-05,4.76576e-05
69,1372,1.36519,1.02314,1.18813,0.65459,0.60954,0.67383,0.359,2.05527,1.82886,1.76977,3.48017e-05,3.48017e-05,3.48017e-05
70,1393.08,1.38726,1.04901,1.16926,0.65803,0.64565,0.68814,0.37489,2.06777,1.86727,1.78122,2.19459e-05,2.19459e-05,2.19459e-05
