epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8838,2.44016,4.14576,1.78639,0.74854,0.12245,0.05706,0.02453,3.13935,5.45579,2.74978,0.000294811,0.000294811,0.000294811
2,39.4007,2.29526,2.75531,1.58007,0.02017,0.04401,0.00777,0.00217,3.09403,inf,4.64815,0.000585974,0.000585974,0.000585974
3,59.1529,2.33812,2.60735,1.63914,0.18949,0.11579,0.03804,0.01065,2.92336,24.6077,3.32394,0.000865139,0.000865139,0.000865139
4,78.8085,2.33007,2.43468,1.6688,0.61923,0.05782,0.05053,0.0156,2.69229,6.13227,2.74029,0.000855005,0.000855005,0.000855005
5,98.5108,2.33426,2.40634,1.65097,0.27836,0.37147,0.10471,0.0335,2.57872,5.34656,2.21863,0.000837007,0.000837007,0.000837007
6,118.498,2.27727,2.32611,1.61906,0.45657,0.22619,0.22306,0.05389,2.66823,4.90627,2.42028,0.000819009,0.000819009,0.000819009
7,138.636,2.23981,2.19696,1.57854,0.4081,0.19155,0.07764,0.02089,2.77838,4.06164,2.58249,0.000801011,0.000801011,0.000801011
8,158.098,2.18418,2.1425,1.59231,0.20034,0.48998,0.30984,0.09736,2.39453,4.29187,2.11214,0.000783013,0.000783013,0.000783013
9,178.107,2.19535,2.08517,1.54793,0.45327,0.31572,0.2403,0.07559,2.45876,3.27162,2.10605,0.000765014,0.000765014,0.000765014
10,197.668,2.1365,2.12729,1.55758,0.25484,0.26719,0.11298,0.03802,2.52171,2.53407,2.15944,0.000747016,0.000747016,0.000747016
11,217.091,2.13877,2.06454,1.54296,0.62098,0.24253,0.35271,0.12595,2.16506,2.08471,1.77251,0.000729018,0.000729018,0.000729018
12,237.08,2.14422,2.04843,1.52375,0.33762,0.2116,0.18094,0.0793,2.42746,2.4212,2.15074,0.00071102,0.00071102,0.00071102
13,256.519,2.08573,2.02416,1.5104,0.49677,0.22887,0.20931,0.0763,2.32349,2.42975,2.00703,0.000693022,0.000693022,0.000693022
